i1,j1,i2,j2
58,17,58,18
84,51,84,52
51,60,51,61
17,106,17,107
6,85,6,86
48,46,49,46
3,71,3,72
13,99,14,99
5,9,6,9
22,12,23,12
54,65,55,65
56,196,56,197
89,12,90,12
35,22,36,22
80,28,80,29
99,119,99,120
65,14,66,14
37,36,37,37
45,169,46,169
38,151,38,152
30,148,31,148
44,0,45,0
36,125,37,125
61,188,62,188
84,58,84,59
58,24,58,25
97,114,97,115
37,121,37,122
59,196,59,197
76,124,76,125
65,28,66,28
77,27,77,28
10,112,10,113
22,111,22,112
12,172,12,173
2,141,3,141
65,11,65,12
39,153,40,153
61,109,61,110
95,58,95,59
40,142,40,143
4,169,4,170
77,64,77,65
8,56,9,56
70,194,71,194
15,193,15,194
80,174,81,174
58,161,58,162
80,167,81,167
5,178,5,179
26,91,26,92
41,112,41,113
49,158,49,159
76,4,76,5
27,47,27,48
6,51,7,51
74,105,74,106
47,17,48,17
17,85,17,86
62,157,62,158
82,57,82,58
56,168,56,169
82,59,83,59
15,97,16,97
40,27,41,27
24,82,25,82
99,106,99,107
20,159,20,160
3,81,4,81
55,119,55,120
2,194,3,194
70,74,71,74
22,107,23,107
78,155,79,155
41,168,42,168
22,77,23,77
87,185,87,186
17,143,18,143
99,184,99,185
27,110,28,110
8,3,9,3
81,93,82,93
7,116,8,116
11,34,12,34
24,193,24,194
3,197,4,197
66,177,67,177
44,95,45,95
71,114,72,114
64,118,64,119
43,122,44,122
84,112,84,113
86,193,86,194
38,125,39,125
62,7,62,8
21,126,21,127
5,111,6,111
25,99,25,100
47,123,48,123
89,60,90,60
42,121,43,121
28,150,28,151
82,196,83,196
54,134,55,134
63,3,63,4
75,2,75,3
8,110,9,110
73,194,74,194
18,105,18,106
23,156,24,156
49,165,49,166
72,140,73,140
2,171,2,172
48,49,49,49
72,52,72,53
66,31,66,32
69,38,69,39
48,78,48,79
43,62,44,62
71,57,71,58
53,169,53,170
88,177,88,178
31,107,32,107
92,190,92,191
23,145,23,146
79,81,79,82
11,44,12,44
12,159,13,159
49,98,49,99
14,4,15,4
98,19,98,20
25,170,26,170
95,45,96,45
10,114,10,115
48,194,48,195
30,125,30,126
68,60,68,61
64,144,65,144
72,182,72,183
70,183,71,183
53,29,53,30
88,181,89,181
85,187,85,188
86,69,87,69
53,63,54,63
43,175,43,176
62,95,63,95
10,128,10,129
14,150,15,150
0,140,1,140
64,158,65,158
78,10,79,10
70,197,71,197
23,133,23,134
29,156,30,156
68,124,69,124
87,97,88,97
92,129,93,129
58,110,58,111
32,76,32,77
23,80,23,81
59,14,59,15
28,199,29,199
9,6,9,7
69,55,69,56
38,65,39,65
37,159,37,160
28,32,28,33
30,183,31,183
53,121,53,122
25,18,25,19
50,107,50,108
39,56,39,57
61,30,62,30
32,90,32,91
92,112,92,113
49,47,49,48
74,136,74,137
33,44,34,44
31,53,31,54
38,26,39,26
85,81,85,82
44,132,44,133
59,106,59,107
10,63,10,64
44,58,44,59
26,34,26,35
17,4,18,4
37,78,38,78
49,122,49,123
35,19,35,20
94,80,94,81
11,153,12,153
87,148,87,149
47,79,47,80
13,22,13,23
16,179,17,179
18,31,19,31
55,96,55,97
40,106,41,106
89,132,89,133
13,5,14,5
92,100,92,101
20,26,21,26
19,139,20,139
82,159,82,160
57,6,58,6
85,143,85,144
93,190,93,191
77,90,77,91
16,193,17,193
90,95,90,96
14,127,15,127
72,4,73,4
14,120,15,120
42,152,43,152
9,125,10,125
21,192,22,192
60,97,61,97
83,122,84,122
71,193,72,193
71,101,71,102
55,188,55,189
78,65,79,65
69,113,70,113
96,132,97,132
99,94,99,95
29,171,29,172
67,37,68,37
60,104,61,104
9,108,9,109
34,197,34,198
15,106,15,107
5,165,5,166
45,120,46,120
88,170,89,170
71,176,71,177
43,93,44,93
92,86,93,86
85,113,86,113
46,138,47,138
24,152,24,153
68,64,69,64
21,138,21,139
69,120,70,120
54,47,55,47
29,178,29,179
66,165,67,165
38,170,38,171
97,105,98,105
23,27,23,28
26,81,27,81
31,132,31,133
20,36,21,36
36,165,36,166
82,20,82,21
14,83,14,84
90,148,90,149
77,39,77,40
1,134,2,134
11,69,11,70
51,5,52,5
61,121,61,122
41,191,41,192
26,143,26,144
41,81,42,81
18,8,18,9
24,32,25,32
55,184,56,184
19,163,20,163
97,196,97,197
6,15,7,15
53,73,54,73
10,179,10,180
63,192,64,192
80,186,81,186
88,131,89,131
51,68,52,68
10,187,11,187
66,59,67,59
34,146,34,147
52,62,53,62
19,35,20,35
56,187,56,188
41,173,42,173
88,92,89,92
24,124,25,124
15,109,16,109
27,176,28,176
88,5,88,6
90,156,91,156
68,74,69,74
36,154,37,154
17,155,18,155
64,170,65,170
64,84,64,85
40,196,41,196
60,183,61,183
58,108,58,109
80,78,80,79
3,192,3,193
40,32,40,33
0,178,0,179
2,116,3,116
65,47,65,48
71,48,71,49
47,135,48,135
27,55,28,55
70,130,70,131
80,196,81,196
22,188,23,188
80,110,80,111
69,43,69,44
95,77,95,78
85,136,85,137
92,63,92,64
77,148,77,149
63,15,63,16
24,2,25,2
41,122,42,122
7,29,8,29
13,50,14,50
50,30,51,30
49,32,49,33
18,172,18,173
81,175,82,175
31,79,31,80
9,4,10,4
34,1,34,2
3,100,3,101
73,23,73,24
97,99,97,100
15,99,15,100
38,166,38,167
9,139,9,140
74,28,75,28
50,179,50,180
94,68,94,69
71,89,72,89
23,0,23,1
7,66,7,67
6,121,6,122
25,30,26,30
44,45,44,46
32,98,33,98
8,124,9,124
1,190,2,190
25,115,26,115
70,169,70,170
89,103,90,103
69,23,70,23
24,48,24,49
39,61,39,62
51,70,52,70
47,66,47,67
29,81,29,82
32,88,32,89
15,10,16,10
62,40,62,41
89,22,90,22
34,107,34,108
56,158,57,158
75,38,75,39
27,164,28,164
37,5,38,5
27,76,27,77
50,119,50,120
90,137,91,137
81,185,82,185
79,109,80,109
29,25,30,25
63,124,63,125
43,88,43,89
71,141,71,142
11,19,12,19
2,17,3,17
87,153,87,154
66,152,66,153
69,159,69,160
97,131,98,131
95,20,96,20
58,69,58,70
74,162,74,163
38,161,39,161
96,38,97,38
28,174,28,175
54,167,54,168
77,95,77,96
90,181,90,182
87,167,87,168
56,12,56,13
79,3,80,3
80,159,80,160
95,34,96,34
57,0,57,1
29,91,29,92
73,179,74,179
77,109,77,110
56,137,57,137
90,86,91,86
53,99,54,99
54,187,55,187
76,153,76,154
95,112,96,112
91,193,92,193
31,5,32,5
88,2,89,2
75,31,75,32
58,115,58,116
11,125,12,125
95,140,95,141
97,198,97,199
57,32,58,32
5,170,5,171
8,138,8,139
39,78,40,78
79,72,80,72
77,172,78,172
59,135,59,136
56,15,56,16
86,157,86,158
67,50,67,51
6,133,6,134
9,127,9,128
38,168,38,169
12,134,12,135
7,60,8,60
12,111,12,112
9,120,9,121
37,67,37,68
71,188,71,189
82,111,83,111
24,164,24,165
82,86,82,87
33,149,33,150
38,182,38,183
35,62,35,63
93,198,94,198
80,106,81,106
80,20,80,21
63,80,64,80
58,178,58,179
78,80,79,80
25,78,26,78
26,3,27,3
24,79,24,80
39,85,39,86
81,46,82,46
49,60,50,60
19,22,19,23
42,42,42,43
81,178,82,178
80,187,80,188
21,41,21,42
88,17,88,18
55,114,56,114
40,37,40,38
94,164,95,164
81,145,81,146
64,189,65,189
88,31,88,32
24,188,25,188
42,21,43,21
87,75,87,76
28,75,29,75
91,123,91,124
2,103,2,104
41,56,42,56
82,165,82,166
37,183,37,184
86,104,86,105
93,6,93,7
82,141,82,142
69,32,69,33
22,2,23,2
2,117,2,118
8,141,9,141
0,6,0,7
8,53,8,54
35,178,35,179
18,136,18,137
3,54,4,54
84,101,85,101
87,63,87,64
52,37,53,37
3,105,3,106
84,7,84,8
0,91,0,92
10,0,10,1
22,9,23,9
89,9,90,9
23,5,23,6
48,94,48,95
47,18,48,18
11,165,11,166
13,53,13,54
17,96,18,96
0,105,0,106
12,190,13,190
49,169,50,169
47,96,48,96
26,26,26,27
88,58,88,59
24,127,24,128
89,101,90,101
11,98,11,99
73,174,74,174
23,97,23,98
71,12,72,12
83,107,83,108
6,29,6,30
88,133,88,134
17,33,17,34
77,82,77,83
37,169,37,170
18,78,18,79
0,132,1,132
42,98,42,99
75,57,75,58
0,13,0,14
61,198,61,199
99,133,99,134
42,91,42,92
13,157,14,157
0,72,1,72
46,162,47,162
60,149,60,150
65,182,65,183
3,61,3,62
15,128,15,129
24,123,25,123
32,170,33,170
81,194,81,195
41,155,41,156
93,193,93,194
94,183,95,183
48,182,49,182
72,162,72,163
28,165,29,165
64,97,65,97
7,95,7,96
85,98,86,98
46,77,46,78
97,158,98,158
16,141,16,142
34,122,34,123
65,62,65,63
25,126,25,127
50,165,51,165
17,50,17,51
91,198,92,198
96,122,96,123
42,6,42,7
37,186,37,187
72,59,73,59
32,20,33,20
23,121,23,122
8,143,8,144
28,147,28,148
58,144,59,144
44,166,44,167
16,67,17,67
55,7,55,8
96,62,96,63
51,113,52,113
58,165,58,166
3,124,3,125
5,182,5,183
8,150,8,151
51,89,51,90
69,144,70,144
70,24,70,25
18,185,19,185
69,137,70,137
14,36,14,37
18,58,19,58
15,186,16,186
56,41,56,42
17,123,18,123
78,14,79,14
46,26,47,26
2,176,3,176
46,121,46,122
35,35,35,36
69,52,70,52
58,137,58,138
6,60,6,61
67,136,67,137
41,102,41,103
1,10,1,11
70,39,71,39
24,30,24,31
24,91,24,92
60,152,61,152
92,187,92,188
89,4,90,4
31,57,31,58
65,178,66,178
65,131,65,132
30,169,30,170
2,2,3,2
22,25,22,26
54,114,54,115
80,95,80,96
0,78,0,79
2,16,3,16
5,23,6,23
65,64,65,65
31,85,31,86
78,143,78,144
75,197,75,198
53,12,54,12
58,133,59,133
54,100,55,100
64,3,65,3
67,30,67,31
60,16,61,16
64,162,65,162
17,60,17,61
65,78,65,79
29,59,29,60
90,74,91,74
74,159,75,159
13,67,14,67
24,40,24,41
72,22,73,22
4,69,5,69
29,73,29,74
3,39,3,40
83,56,83,57
12,110,13,110
62,134,62,135
34,99,34,100
38,69,39,69
88,140,89,140
28,129,29,129
35,144,35,145
65,141,66,141
46,159,46,160
33,155,34,155
48,92,49,92
27,61,27,62
46,142,47,142
89,28,90,28
84,9,85,9
8,120,8,121
8,181,8,182
15,147,15,148
42,108,42,109
84,104,84,105
67,187,68,187
75,108,75,109
57,152,57,153
56,92,56,93
34,102,34,103
61,118,61,119
95,56,96,56
42,188,43,188
74,87,74,88
94,57,95,57
96,175,97,175
10,8,11,8
81,114,81,115
41,75,41,76
82,41,83,41
12,48,12,49
58,43,59,43
88,96,89,96
57,92,58,92
1,78,2,78
99,145,99,146
93,127,93,128
13,169,14,169
22,123,23,123
6,87,6,88
0,127,0,128
24,142,25,142
35,24,36,24
92,161,93,161
88,87,88,88
39,3,40,3
84,23,85,23
0,59,1,59
25,145,25,146
30,90,31,90
89,144,90,144
8,126,9,126
3,5,4,5
65,129,65,130
98,149,99,149
45,86,46,86
57,38,57,39
21,37,22,37
10,29,10,30
4,185,5,185
64,126,65,126
91,104,92,104
3,118,3,119
1,75,1,76
35,93,35,94
52,89,52,90
46,96,46,97
71,76,71,77
19,144,19,145
59,60,59,61
39,17,39,18
4,114,4,115
67,70,67,71
93,79,94,79
86,96,86,97
60,39,60,40
66,126,67,126
93,62,93,63
31,14,32,14
71,154,71,155
87,102,87,103
10,24,10,25
85,152,86,152
77,196,77,197
98,88,98,89
35,170,35,171
11,196,11,197
86,110,86,111
36,102,36,103
30,113,30,114
98,170,98,171
82,152,83,152
59,87,60,87
0,40,1,40
21,135,21,136
6,7,7,7
95,82,96,82
50,38,50,39
59,179,60,179
54,51,54,52
81,73,82,73
87,11,88,11
53,130,53,131
78,135,79,135
32,99,32,100
46,147,47,147
8,89,9,89
88,152,89,152
35,156,35,157
17,164,17,165
4,181,5,181
48,142,49,142
18,146,19,146
35,52,35,53
28,62,28,63
92,135,92,136
46,67,46,68
43,194,44,194
69,187,69,188
8,5,8,6
67,112,67,113
21,152,21,153
69,170,69,171
13,31,13,32
22,110,23,110
22,146,22,147
67,160,68,160
45,84,46,84
66,27,67,27
43,155,44,155
49,161,50,161
87,28,88,28
28,194,29,194
38,66,38,67
80,163,80,164
78,57,79,57
23,182,24,182
59,111,59,112
97,83,98,83
59,34,60,34
32,194,32,195
65,163,66,163
71,50,72,50
75,35,75,36
13,103,14,103
92,95,93,95
46,198,46,199
98,119,98,120
30,10,31,10
64,152,65,152
98,15,98,16
77,7,77,8
73,130,74,130
27,182,27,183
16,110,17,110
30,40,30,41
40,187,40,188
73,160,73,161
26,166,26,167
57,107,58,107
95,52,95,53
74,56,75,56
21,116,22,116
41,111,42,111
67,56,68,56
19,105,20,105
78,166,79,166
92,58,93,58
57,199,58,199
50,114,51,114
25,51,25,52
88,7,88,8
39,89,39,90
96,47,96,48
92,102,93,102
10,41,10,42
95,184,96,184
22,40,22,41
41,108,41,109
55,108,55,109
49,80,49,81
35,131,36,131
95,80,96,80
67,61,67,62
11,40,12,40
80,18,81,18
36,198,36,199
10,96,10,97
46,30,46,31
63,109,64,109
7,82,7,83
53,57,53,58
12,176,12,177
25,181,25,182
5,145,5,146
34,63,34,64
74,34,74,35
51,52,51,53
83,87,83,88
70,139,70,140
33,119,34,119
26,122,26,123
98,161,98,162
27,25,28,25
81,82,81,83
52,34,52,35
77,123,77,124
0,180,1,180
47,167,47,168
40,28,41,28
84,17,85,17
18,140,18,141
37,99,38,99
21,108,21,109
70,17,71,17
50,121,51,121
15,118,16,118
0,95,0,96
54,123,54,124
62,38,63,38
84,164,84,165
1,104,1,105
20,172,20,173
80,113,81,113
21,178,21,179
83,20,84,20
71,37,71,38
43,143,44,143
84,161,85,161
95,94,96,94
31,165,31,166
5,84,5,85
8,94,9,94
44,130,45,130
77,174,78,174
42,180,43,180
33,103,33,104
58,192,58,193
96,59,96,60
10,53,11,53
95,171,95,172
56,160,57,160
84,168,85,168
97,16,97,17
47,191,47,192
53,173,53,174
45,116,45,117
64,71,64,72
88,164,89,164
58,28,59,28
14,1,15,1
3,186,3,187
83,60,84,60
9,13,10,13
5,71,6,71
11,72,12,72
24,134,25,134
32,93,33,93
23,102,24,102
22,129,23,129
60,57,61,57
58,120,59,120
89,184,89,185
67,194,67,195
66,25,66,26
56,84,56,85
39,104,40,104
11,109,11,110
27,71,27,72
35,122,36,122
45,17,45,18
59,123,59,124
61,36,61,37
13,69,14,69
63,55,63,56
89,69,90,69
50,166,50,167
77,12,77,13
10,155,11,155
64,57,64,58
70,35,70,36
91,149,92,149
89,99,89,100
82,88,82,89
68,116,69,116
13,161,14,161
56,47,57,47
3,191,4,191
44,157,45,157
91,110,92,110
75,195,76,195
11,42,12,42
92,43,92,44
46,135,46,136
1,186,2,186
61,173,61,174
4,85,4,86
52,171,52,172
34,31,35,31
69,42,70,42
54,33,54,34
33,66,33,67
76,159,77,159
23,125,23,126
98,23,99,23
4,18,4,19
73,145,74,145
48,110,48,111
5,27,5,28
31,61,31,62
28,47,28,48
14,12,14,13
12,120,12,121
63,127,63,128
89,124,90,124
15,141,15,142
35,111,36,111
30,38,30,39
90,48,90,49
16,163,17,163
70,191,71,191
35,109,35,110
5,157,5,158
73,165,73,166
19,175,19,176
16,161,16,162
11,151,12,151
26,134,26,135
96,1,96,2
72,109,72,110
69,95,69,96
62,185,63,185
41,116,42,116
95,7,96,7
38,194,38,195
33,90,33,91
44,43,45,43
12,130,12,131
7,9,7,10
56,73,57,73
7,141,7,142
81,157,82,157
91,57,92,57
63,138,64,138
2,60,3,60
15,151,15,152
78,194,78,195
4,9,4,10
43,98,43,99
5,18,5,19
44,173,45,173
70,161,70,162
81,2,81,3
30,76,30,77
62,163,62,164
68,12,69,12
67,85,68,85
43,45,43,46
97,28,97,29
28,119,29,119
23,22,24,22
78,127,79,127
21,30,21,31
4,49,4,50
44,67,45,67
5,43,5,44
85,128,85,129
79,106,79,107
63,188,63,189
80,116,80,117
9,148,10,148
84,132,84,133
47,173,48,173
98,125,99,125
86,130,86,131
2,136,2,137
66,37,66,38
5,120,5,121
25,174,26,174
88,125,89,125
60,161,61,161
28,184,28,185
46,149,47,149
92,126,93,126
48,166,48,167
6,161,6,162
51,197,52,197
82,63,82,64
81,118,81,119
90,171,90,172
26,179,26,180
50,150,51,150
49,56,50,56
70,47,70,48
55,146,55,147
2,164,3,164
29,20,29,21
11,54,12,54
59,50,59,51
35,97,35,98
51,23,52,23
76,136,77,136
83,63,84,63
21,171,22,171
16,120,16,121
52,162,53,162
2,85,2,86
39,7,40,7
29,17,30,17
35,151,36,151
24,86,24,87
53,86,53,87
15,54,15,55
60,22,61,22
71,165,71,166
42,117,42,118
77,115,77,116
13,44,14,44
33,85,33,86
35,84,36,84
16,90,17,90
91,45,91,46
3,111,4,111
64,141,64,142
61,127,61,128
20,62,21,62
21,150,22,150
30,97,31,97
61,164,61,165
87,198,87,199
16,182,17,182
26,159,27,159
48,118,49,118
32,150,32,151
66,123,67,123
38,121,38,122
15,71,15,72
66,68,66,69
40,34,40,35
37,20,37,21
54,140,54,141
17,103,18,103
83,181,83,182
55,98,56,98
40,89,40,90
76,171,77,171
85,163,86,163
22,95,22,96
89,176,90,176
12,13,13,13
32,138,32,139
25,17,26,17
18,21,18,22
91,154,91,155
19,95,19,96
83,66,84,66
65,90,66,90
8,23,8,24
40,140,40,141
82,67,83,67
7,8,8,8
56,192,57,192
82,13,83,13
36,112,37,112
55,6,56,6
79,120,80,120
80,181,80,182
63,47,63,48
56,62,56,63
16,16,16,17
87,192,88,192
65,5,65,6
6,195,7,195
59,140,60,140
84,11,85,11
44,79,45,79
45,194,46,194
45,108,45,109
95,128,96,128
59,62,59,63
65,100,66,100
68,84,69,84
91,178,92,178
33,28,34,28
94,195,94,196
67,99,68,99
14,171,14,172
69,34,70,34
43,36,43,37
31,23,32,23
71,82,71,83
7,49,8,49
29,34,30,34
5,98,6,98
5,10,6,10
95,29,96,29
6,113,7,113
35,33,36,33
5,58,6,58
75,166,76,166
29,39,29,40
58,80,58,81
5,190,6,190
49,153,50,153
26,103,27,103
71,85,71,86
86,91,86,92
68,108,69,108
27,193,27,194
57,150,58,150
72,87,73,87
8,135,9,135
50,97,51,97
49,71,50,71
15,66,15,67
48,127,48,128
16,88,17,88
73,176,74,176
89,31,89,32
24,161,25,161
76,111,76,112
10,164,11,164
37,62,38,62
12,184,13,184
58,90,59,90
34,115,35,115
24,168,25,168
85,198,85,199
49,177,50,177
56,102,57,102
86,94,87,94
46,190,46,191
74,116,75,116
50,4,51,4
67,167,67,168
78,158,79,158
11,46,11,47
94,6,94,7
5,21,5,22
96,51,97,51
26,11,27,11
94,105,94,106
7,13,8,13
56,127,56,128
87,44,88,44
4,83,5,83
17,81,17,82
92,154,92,155
82,7,82,8
29,94,29,95
75,75,75,76
6,44,6,45
18,179,19,179
17,197,17,198
79,146,80,146
91,81,91,82
88,67,88,68
86,18,87,18
38,29,38,30
47,105,48,105
81,36,81,37
58,39,59,39
55,110,56,110
97,129,97,130
78,22,78,23
37,73,37,74
42,174,42,175
73,153,74,153
99,141,99,142
63,151,63,152
81,43,81,44
5,75,6,75
4,100,5,100
41,4,41,5
16,188,16,189
73,162,73,163
74,65,75,65
51,15,52,15
46,81,47,81
30,117,30,118
23,106,24,106
25,138,26,138
73,33,74,33
0,196,1,196
70,19,71,19
36,87,37,87
7,115,8,115
53,180,54,180
68,21,69,21
81,142,81,143
67,198,67,199
47,54,48,54
91,30,91,31
44,40,45,40
86,168,86,169
72,74,73,74
50,137,51,137
93,119,94,119
59,165,59,166
48,144,48,145
31,188,32,188
30,19,31,19
67,131,67,132
85,162,86,162
0,136,1,136
5,154,5,155
7,173,7,174
87,47,88,47
86,74,87,74
76,31,76,32
73,17,73,18
15,32,15,33
89,36,89,37
28,123,29,123
33,156,34,156
68,5,68,6
14,17,15,17
47,38,47,39
67,181,68,181
52,189,53,189
78,182,79,182
41,53,42,53
7,184,8,184
32,130,32,131
68,44,68,45
39,1,39,2
20,75,20,76
54,18,54,19
6,91,7,91
68,32,68,33
76,165,77,165
99,160,99,161
41,2,42,2
29,111,30,111
1,130,2,130
19,152,20,152
59,146,60,146
71,192,72,192
9,188,9,189
74,77,75,77
95,113,96,113
38,23,38,24
50,45,50,46
47,154,47,155
59,68,59,69
24,37,25,37
38,101,38,102
59,79,60,79
97,104,98,104
16,101,16,102
75,87,75,88
19,101,20,101
31,145,31,146
22,39,23,39
33,164,33,165
49,108,49,109
20,66,21,66
79,149,79,150
46,35,46,36
37,146,38,146
23,111,24,111
87,73,88,73
22,199,23,199
46,32,47,32
76,188,76,189
0,153,1,153
50,19,51,19
33,34,33,35
41,139,41,140
21,168,22,168
89,64,90,64
49,23,49,24
93,170,93,171
88,51,89,51
48,149,48,150
10,86,11,86
34,45,34,46
20,186,20,187
3,108,4,108
23,3,23,4
54,151,54,152
62,117,62,118
44,41,44,42
49,115,49,116
22,194,23,194
60,186,60,187
10,178,11,178
5,104,6,104
57,50,58,50
8,190,9,190
38,27,39,27
10,35,11,35
58,174,58,175
67,101,68,101
55,54,56,54
12,30,12,31
49,77,49,78
95,9,96,9
46,47,46,48
40,131,41,131
87,189,88,189
61,39,61,40
29,167,30,167
58,19,58,20
61,176,62,176
31,70,31,71
75,68,76,68
7,93,7,94
18,148,19,148
98,60,98,61
85,105,85,106
20,55,20,56
44,150,44,151
93,71,93,72
34,50,35,50
42,10,43,10
15,47,16,47
72,118,72,119
99,56,99,57
27,84,28,84
1,50,2,50
57,126,57,127
31,173,32,173
21,57,22,57
93,133,93,134
27,186,28,186
76,192,77,192
12,139,12,140
79,74,79,75
32,50,32,51
91,192,92,192
18,18,18,19
58,128,58,129
25,151,25,152
74,140,74,141
6,18,7,18
20,82,20,83
60,75,60,76
84,169,84,170
59,141,59,142
72,135,72,136
11,168,11,169
45,99,46,99
57,143,57,144
30,194,30,195
2,159,2,160
83,186,84,186
78,120,78,121
6,148,7,148
79,124,80,124
94,132,94,133
36,190,36,191
95,40,96,40
24,179,25,179
7,42,7,43
60,181,60,182
82,163,83,163
20,99,20,100
2,23,2,24
48,86,49,86
26,175,27,175
74,113,75,113
38,53,39,53
85,80,86,80
16,62,16,63
78,130,78,131
52,49,52,50
28,34,28,35
0,5,1,5
43,78,43,79
2,55,2,56
15,180,16,180
44,60,44,61
57,55,58,55
47,44,47,45
57,48,58,48
79,37,79,38
31,198,31,199
5,76,5,77
22,160,23,160
78,100,79,100
44,176,44,177
18,74,18,75
25,47,26,47
93,97,93,98
80,149,80,150
1,48,2,48
89,93,90,93
85,73,86,73
68,22,68,23
87,194,88,194
26,191,26,192
7,84,7,85
76,102,77,102
47,9,47,10
62,199,63,199
14,64,14,65
20,46,20,47
23,191,23,192
76,132,76,133
51,145,51,146
35,38,35,39
77,57,77,58
96,108,97,108
10,174,10,175
30,104,30,105
9,137,10,137
83,96,84,96
27,82,28,82
81,154,82,154
54,14,55,14
63,67,64,67
44,19,44,20
52,59,52,60
58,41,58,42
86,8,87,8
22,84,23,84
61,151,62,151
68,76,69,76
97,117,98,117
76,157,77,157
0,184,1,184
11,104,12,104
61,31,62,31
98,96,98,97
3,84,4,84
40,173,40,174
65,120,65,121
81,149,82,149
82,76,83,76
61,45,62,45
98,174,99,174
39,105,40,105
9,154,9,155
87,12,88,12
5,135,6,135
91,48,91,49
62,0,62,1
59,95,59,96
30,91,31,91
28,192,29,192
0,197,0,198
61,167,61,168
23,173,24,173
61,100,61,101
7,112,8,112
70,14,70,15
12,90,12,91
19,142,20,142
70,30,71,30
49,13,50,13
68,9,68,10
91,51,92,51
29,4,29,5
56,88,56,89
28,116,28,117
47,86,47,87
91,65,92,65
32,32,32,33
54,137,55,137
51,58,51,59
35,89,35,90
17,46,18,46
87,128,88,128
72,103,72,104
96,31,96,32
70,79,71,79
63,61,63,62
84,181,85,181
87,120,87,121
32,185,32,186
72,178,72,179
40,171,40,172
13,39,13,40
18,48,19,48
69,0,70,0
16,149,17,149
70,132,71,132
32,79,32,80
22,68,23,68
36,52,36,53
75,43,75,44
23,62,24,62
82,78,83,78
13,128,14,128
6,155,6,156
22,126,22,127
59,5,59,6
67,147,67,148
21,49,22,49
13,148,13,149
25,83,26,83
56,17,57,17
34,37,35,37
30,140,30,141
79,197,79,198
8,129,8,130
10,62,11,62
15,95,16,95
28,105,29,105
28,12,28,13
60,155,61,155
53,182,54,182
78,191,79,191
8,15,8,16
60,0,60,1
5,54,5,55
26,99,26,100
86,197,87,197
60,7,60,8
43,81,43,82
21,6,22,6
82,51,83,51
46,3,46,4
54,50,55,50
40,81,40,82
46,17,46,18
33,13,34,13
21,98,22,98
40,199,41,199
66,192,67,192
1,146,2,146
20,31,20,32
92,151,93,151
60,24,60,25
53,92,54,92
90,140,91,140
23,116,23,117
5,163,5,164
27,171,27,172
2,96,2,97
63,52,64,52
96,142,96,143
6,172,6,173
50,170,51,170
28,139,29,139
0,144,0,145
32,54,32,55
85,195,86,195
46,116,47,116
88,53,89,53
79,51,80,51
96,145,96,146
55,107,56,107
95,189,95,190
97,127,98,127
98,7,99,7
86,5,86,6
44,50,44,51
24,143,24,144
76,64,76,65
43,146,43,147
0,84,1,84
30,29,30,30
89,83,89,84
31,177,32,177
84,94,85,94
15,131,16,131
54,44,54,45
42,77,43,77
75,127,75,128
88,34,88,35
75,29,76,29
55,67,55,68
19,108,19,109
84,89,85,89
22,19,23,19
37,98,38,98
81,109,81,110
4,159,5,159
49,2,50,2
79,15,79,16
45,59,45,60
34,158,35,158
43,107,43,108
81,23,82,23
43,170,44,170
74,54,74,55
4,131,5,131
35,160,36,160
12,22,12,23
91,195,91,196
63,160,63,161
29,54,30,54
82,1,82,2
38,158,38,159
86,66,87,66
74,50,75,50
83,35,83,36
84,150,84,151
7,197,7,198
3,170,3,171
69,147,70,147
68,158,69,158
8,100,9,100
89,74,89,75
39,192,39,193
30,108,30,109
38,6,38,7
0,89,1,89
84,0,85,0
55,116,55,117
0,173,0,174
71,43,71,44
28,182,29,182
13,135,13,136
0,181,1,181
16,70,17,70
26,8,27,8
98,178,98,179
40,59,40,60
11,11,11,12
0,31,1,31
52,144,53,144
7,52,8,52
57,84,57,85
97,163,98,163
31,81,31,82
8,10,9,10
70,190,71,190
29,149,30,149
24,29,25,29
19,120,19,121
44,123,45,123
32,83,32,84
21,12,21,13
62,130,63,130
84,29,84,30
79,162,79,163
99,138,99,139
58,154,58,155
61,12,61,13
51,93,52,93
82,143,83,143
70,97,71,97
21,165,21,166
40,99,41,99
98,50,98,51
92,5,92,6
65,190,65,191
8,102,8,103
98,142,98,143
7,1,7,2
62,116,63,116
65,197,65,198
68,57,69,57
91,12,92,12
39,151,40,151
31,92,32,92
28,78,29,78
50,102,51,102
5,3,5,4
14,81,15,81
53,38,53,39
30,7,30,8
29,80,30,80
5,88,5,89
23,89,23,90
14,173,15,173
51,47,51,48
15,14,16,14
11,148,11,149
83,55,84,55
52,147,53,147
89,86,89,87
56,11,57,11
2,21,3,21
89,72,90,72
55,105,55,106
25,148,25,149
53,79,53,80
98,115,99,115
90,10,90,11
81,49,81,50
81,168,82,168
39,119,39,120
51,111,51,112
30,137,30,138
35,61,36,61
6,179,7,179
40,87,41,87
88,193,89,193
4,188,5,188
25,189,26,189
94,184,94,185
37,141,38,141
11,60,12,60
56,104,56,105
0,192,0,193
12,25,12,26
38,70,39,70
37,171,37,172
32,95,32,96
5,151,6,151
26,196,27,196
10,150,10,151
62,29,63,29
15,176,15,177
80,89,81,89
25,79,25,80
11,84,12,84
1,12,1,13
3,24,3,25
42,93,42,94
55,16,55,17
88,0,88,1
24,157,25,157
41,189,41,190
29,85,30,85
13,11,13,12
56,121,56,122
81,39,82,39
52,20,53,20
