i1,j1,i2,j2
23,42,23,43
91,119,92,119
61,191,62,191
54,150,55,150
10,122,10,123
48,57,48,58
20,22,20,23
11,26,11,27
74,131,75,131
17,8,17,9
57,42,57,43
31,8,31,9
47,187,48,187
69,51,70,51
54,28,54,29
53,83,53,84
79,117,79,118
18,53,18,54
93,76,93,77
36,34,36,35
59,72,60,72
87,48,87,49
15,91,16,91
95,27,95,28
63,74,63,75
2,157,2,158
51,166,52,166
69,112,70,112
6,6,7,6
48,152,49,152
8,113,9,113
51,10,51,11
45,57,45,58
53,185,54,185
18,108,18,109
53,97,53,98
67,77,68,77
90,117,90,118
92,159,92,160
72,123,72,124
9,60,9,61
70,54,70,55
99,61,99,62
6,108,7,108
66,95,66,96
11,118,11,119
49,53,49,54
63,81,63,82
91,13,92,13
71,128,71,129
9,75,9,76
38,73,39,73
37,47,38,47
60,165,60,166
57,93,57,94
54,79,54,80
93,100,93,101
10,33,11,33
18,183,18,184
90,154,90,155
33,159,34,159
90,131,90,132
68,49,68,50
93,138,93,139
17,98,18,98
64,90,64,91
76,89,76,90
47,41,47,42
35,42,36,42
46,139,47,139
55,88,55,89
62,15,62,16
14,75,15,75
45,189,46,189
32,17,32,18
79,24,80,24
31,154,32,154
73,91,74,91
16,94,17,94
28,140,29,140
97,134,97,135
2,59,3,59
53,11,54,11
90,168,90,169
91,91,92,91
68,86,68,87
41,40,41,41
11,89,11,90
58,44,59,44
17,112,18,112
56,80,57,80
45,20,46,20
7,125,7,126
13,107,13,108
36,0,37,0
61,113,62,113
15,40,16,40
52,129,52,130
88,40,89,40
15,165,15,166
53,32,53,33
14,89,15,89
62,85,62,86
18,0,19,0
74,94,75,94
8,21,9,21
60,59,61,59
15,158,16,158
95,130,96,130
34,152,34,153
78,41,78,42
82,158,83,158
4,105,5,105
84,64,85,64
1,26,1,27
84,18,84,19
58,160,59,160
95,37,95,38
57,121,58,121
33,196,33,197
47,180,48,180
93,11,94,11
96,165,97,165
48,13,48,14
79,171,79,172
33,23,34,23
30,129,30,130
42,199,43,199
67,117,68,117
79,103,79,104
78,27,79,27
13,192,13,193
59,47,59,48
32,147,32,148
23,151,23,152
38,148,38,149
29,133,29,134
56,179,57,179
75,151,76,151
52,102,53,102
94,39,95,39
43,24,44,24
11,135,11,136
1,33,1,34
53,192,53,193
96,179,97,179
54,96,54,97
36,143,36,144
19,2,20,2
27,128,27,129
56,27,57,27
74,186,75,186
54,39,55,39
73,147,74,147
79,168,80,168
99,156,99,157
33,169,34,169
26,172,26,173
16,57,16,58
95,197,95,198
78,173,79,173
97,67,98,67
73,92,73,93
13,1,13,2
20,179,20,180
51,187,51,188
51,119,51,120
57,89,58,89
78,125,78,126
43,52,43,53
54,174,54,175
19,80,20,80
31,124,31,125
67,186,68,186
77,2,78,2
16,66,17,66
54,144,54,145
19,118,20,118
59,177,59,178
39,141,39,142
78,134,79,134
72,164,72,165
46,45,46,46
52,169,52,170
80,141,81,141
75,189,75,190
26,105,26,106
98,76,98,77
89,80,89,81
95,62,95,63
22,141,23,141
89,118,89,119
33,198,33,199
52,155,53,155
94,151,94,152
21,55,22,55
53,35,54,35
56,64,56,65
84,74,85,74
46,59,46,60
13,93,13,94
49,3,50,3
44,136,44,137
18,55,18,56
52,183,52,184
25,28,26,28
80,148,81,148
81,53,82,53
13,76,14,76
26,142,27,142
20,97,21,97
27,22,28,22
21,140,22,140
68,195,68,196
22,155,23,155
3,48,4,48
34,138,34,139
2,161,3,161
6,55,7,55
56,189,57,189
60,15,61,15
60,119,60,120
66,21,67,21
68,165,68,166
79,8,80,8
65,145,65,146
31,64,32,64
85,47,86,47
72,75,73,75
96,189,97,189
20,175,21,175
27,100,28,100
83,155,84,155
1,43,2,43
81,60,82,60
1,36,2,36
57,91,58,91
68,36,69,36
