i1,j1,i2,j2
0,0,0,1
0,2,0,3
0,8,0,9
0,10,0,11
0,18,0,17
1,1,1,2
1,5,1,6
1,19,2,19
2,4,2,5
2,8,2,9
2,12,3,12
3,1,3,2
3,5,3,6
3,7,4,7
3,15,3,14
3,17,2,17
4,0,3,0
4,4,4,3
4,16,4,15
4,18,5,18
5,3,6,3
5,5,4,5
5,11,6,11
5,13,5,14
5,15,6,15
6,2,7,2
6,4,7,4
6,6,5,6
6,10,5,10
7,1,6,1
7,3,8,3
7,7,7,6
7,17,8,17
7,19,8,19
8,4,8,5
8,10,8,11
8,12,9,12
9,1,9,0
9,3,9,2
9,7,9,6
9,9,9,10
9,13,9,14
9,15,9,16
9,19,9,18
