i1,j1,i2,j2
7,15,7,16
0,5,0,6
6,0,6,1
6,12,7,12
4,13,5,13
4,18,4,19
3,13,3,14
1,14,1,15
5,7,5,8
3,0,3,1
7,8,7,9
4,0,5,0
7,2,7,3
7,13,8,13
2,2,2,3
8,2,8,3
8,4,9,4
7,11,8,11
2,17,3,17
1,17,1,18
4,9,5,9
4,5,4,6
3,11,4,11
3,7,3,8
6,19,7,19
1,10,2,10
5,3,6,3
0,11,1,11
0,15,0,16
6,13,6,14
1,1,1,2
5,1,5,2
2,6,3,6
4,16,5,16
6,18,7,18
2,0,2,1
9,1,9,2
8,8,8,9
6,17,7,17
9,15,9,16
1,19,2,19
2,11,2,12
8,12,9,12
5,5,5,6
6,5,6,6
6,7,6,8
1,8,2,8
2,14,2,15
0,3,1,3
0,8,0,9
9,9,9,10
4,10,5,10
4,14,4,15
